type,date_or_id,title,summary
"top10","2026-09-24","Germany's most career goals (current squads)","1.Thomas Müller(256 goals) | 2.Marco Reus(231 goals) | 3.Deniz Undav(182 goals) | 4.Leroy Sané(150 goals) | 5.Niclas Füllkrug(117 goals) | 6.Mario Götze(116 goals) | 7.Tim Kleindienst(116 goals) | 8.Kai Havertz(111 goals) | 9.Serge Gnabry(107 goals) | 10.Marius Bülter(98 goals)"
"top10","2026-09-25","Denmark's most career assists (current squads)","1.Christian Eriksen(86 assists) | 2.Mikkel Damsgaard(46 assists) | 3.Andreas Albers(40 assists) | 4.Joakim Mæhle(35 assists) | 5.Mathias Jensen(32 assists) | 6.Morten Hjulmand(24 assists) | 7.Daniel Svensson(22 assists) | 8.Pierre-Emile Højbjerg(21 assists) | 9.Jens Stage(20 assists) | 10.Christian Nørgaard(19 assists)"
"top10","2026-09-26","England's most career goals (current squads)","1.Harry Kane(370 goals) | 2.Marcus Rashford(140 goals) | 3.Callum Wilson(137 goals) | 4.Jarrod Bowen(120 goals) | 5.Bukayo Saka(117 goals) | 6.Dominic Solanke(109 goals) | 7.Dominic Calvert-Lewin(109 goals) | 8.Danny Welbeck(90 goals) | 9.Jude Bellingham(85 goals) | 10.Phil Foden(85 goals)"
"top10","2026-09-27","England's highest market values (current squads)","1.Jude Bellingham(€180.0M) | 2.Bukayo Saka(€150.0M) | 3.Cole Palmer(€120.0M) | 4.Phil Foden(€110.0M) | 5.Declan Rice(€100.0M) | 6.Morgan Rogers(€80.0M) | 7.Elliot Anderson(€70.0M) | 8.Harry Kane(€65.0M) | 9.Adam Wharton(€61.7M) | 10.Morgan Gibbs-White(€60.0M)"
"top10","2026-09-28","Denmark's most career goals (current squads)","1.Andreas Albers(108 goals) | 2.Christian Eriksen(84 goals) | 3.Jens Stage(51 goals) | 4.Rasmus Højlund(42 goals) | 5.Gustav Isaksen(35 goals) | 6.Mikkel Damsgaard(31 goals) | 7.Mathias Jensen(29 goals) | 8.Mikkel Kaufmann(26 goals) | 9.Christian Nørgaard(24 goals) | 10.Conrad Harder(15 goals)"
"top10","2026-09-29","Brazil's highest market values (current squads)","1.Vinícius Júnior(€150.0M) | 2.Rodrygo(€80.0M) | 3.Bruno Guimarães(€80.0M) | 4.Gabriel Magalhães(€75.0M) | 5.João Pedro(€73.0M) | 6.Raphinha(€70.0M) | 7.Matheus Cunha(€68.0M) | 8.Gabriel Martinelli(€55.0M) | 9.Gleison Bremer(€54.0M) | 10.Savinho(€45.0M)"
"top10","2026-09-30","Midfielders' most career goals (current squads)","1.Thomas Müller(256 goals) | 2.Marco Reus(231 goals) | 3.Ángel Di María(195 goals) | 4.Hakan Çalhanoğlu(135 goals) | 5.Bruno Fernandes(132 goals) | 6.Mario Götze(116 goals) | 7.Bernardo Silva(116 goals) | 8.Kevin De Bruyne(115 goals) | 9.Henrikh Mkhitaryan(112 goals) | 10.Harry Wilson(112 goals)"
"top10","2026-10-01","Global's most career goals (current squads)","1.Cristiano Ronaldo(740 goals) | 2.Lionel Messi(735 goals) | 3.Robert Lewandowski(660 goals) | 4.Neymar(440 goals) | 5.Luis Suárez(426 goals) | 6.Karim Benzema(380 goals) | 7.Edinson Cavani(377 goals) | 8.Pierre-Emerick Aubameyang(374 goals) | 9.Harry Kane(370 goals) | 10.Kylian Mbappé(350 goals)"
"top10","2026-10-02","Germany's most career assists (current squads)","1.Thomas Müller(244 assists) | 2.Marco Reus(150 assists) | 3.Joshua Kimmich(130 assists) | 4.Leroy Sané(117 assists) | 5.Mario Götze(105 assists) | 6.Leon Goretzka(68 assists) | 7.Kai Havertz(65 assists) | 8.Deniz Undav(64 assists) | 9.Florian Wirtz(55 assists) | 10.Julian Brandt(55 assists)"
"top10","2026-10-03","Midfielders' highest market values (current squads)","1.Jude Bellingham(€180.0M) | 2.Florian Wirtz(€150.0M) | 3.Jamal Musiala(€130.0M) | 4.Vitinha(€130.0M) | 5.Pedri(€120.0M) | 6.Cole Palmer(€120.0M) | 7.Phil Foden(€110.0M) | 8.Declan Rice(€100.0M) | 9.Federico Valverde(€100.0M) | 10.Dominik Szoboszlai(€100.0M)"
